file,patient,windows,preictal,interictal,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_auc,raw_tp,raw_fp,raw_fn,raw_tn,smooth_accuracy,smooth_precision,smooth_recall,smooth_f1,smooth_auc,smooth_tp,smooth_fp,smooth_fn,smooth_tn
chb20_02_processed_smoothing_freq.npz,chb20,1439,0,1439,0.0034746351633078527,0.0,0.0,0.0,,0,1434,0,5,0.001389854065323141,0.0,0.0,0.0,,0,1437,0,2
chb20_03_processed_smoothing_freq.npz,chb20,1439,0,1439,0.006949270326615705,0.0,0.0,0.0,,0,1429,0,10,0.0,0.0,0.0,0.0,,0,1439,0,0
chb20_04_processed_smoothing_freq.npz,chb20,1439,0,1439,0.004864489228630994,0.0,0.0,0.0,,0,1432,0,7,0.0,0.0,0.0,0.0,,0,1439,0,0
chb20_05_processed_smoothing_freq.npz,chb20,1439,0,1439,0.001389854065323141,0.0,0.0,0.0,,0,1437,0,2,0.0,0.0,0.0,0.0,,0,1439,0,0
chb20_06_processed_smoothing_freq.npz,chb20,1439,0,1439,0.0034746351633078527,0.0,0.0,0.0,,0,1434,0,5,0.0,0.0,0.0,0.0,,0,1439,0,0
chb20_07_processed_smoothing_freq.npz,chb20,1439,0,1439,0.0034746351633078527,0.0,0.0,0.0,,0,1434,0,5,0.0,0.0,0.0,0.0,,0,1439,0,0
chb20_08_processed_smoothing_freq.npz,chb20,1439,0,1439,0.006949270326615705,0.0,0.0,0.0,,0,1429,0,10,0.0,0.0,0.0,0.0,,0,1439,0,0
chb20_11_processed_smoothing_freq.npz,chb20,1439,0,1439,0.1459346768589298,0.0,0.0,0.0,,0,1229,0,210,0.0847810979847116,0.0,0.0,0.0,,0,1317,0,122
chb20_12_processed_smoothing_freq.npz,chb20,1389,0,1389,0.017998560115190784,0.0,0.0,0.0,,0,1364,0,25,0.008639308855291577,0.0,0.0,0.0,,0,1377,0,12
chb20_13_processed_smoothing_freq.npz,chb20,1169,480,689,0.41146278870829767,0.4087719298245614,0.9708333333333333,0.5753086419753086,0.41857160135462024,466,674,14,15,0.40461933276304535,0.4070567986230637,0.9854166666666667,0.5761266747868453,0.4226989598451863,473,689,7,0
chb20_14_processed_smoothing_freq.npz,chb20,1302,240,1062,0.21658986175115208,0.18998410174880764,0.9958333333333333,0.3190921228304406,0.6399384023854363,239,1019,1,43,0.18509984639016897,0.18447348193697155,1.0,0.31148604802076574,0.6604676710608913,240,1061,0,1
chb20_15_processed_smoothing_freq.npz,chb20,1162,275,887,0.2487091222030981,0.23909249563699825,0.9963636363636363,0.3856439127375088,0.5384708414471662,274,872,1,15,0.23666092943201378,0.23666092943201378,1.0,0.3827418232428671,0.5136004919544942,275,887,0,0
chb20_16_processed_smoothing_freq.npz,chb20,1250,240,1010,0.212,0.19492219492219492,0.9916666666666667,0.3258042436687201,0.5682673267326733,238,983,2,27,0.1944,0.19246190858059342,1.0,0.32279757901815737,0.5785437293729373,240,1007,0,3
chb20_17_processed_smoothing_freq.npz,chb20,1439,0,1439,0.011118832522585128,0.0,0.0,0.0,,0,1423,0,16,0.009728978457261988,0.0,0.0,0.0,,0,1425,0,14
chb20_21_processed_smoothing_freq.npz,chb20,1446,0,1446,0.0739972337482711,0.0,0.0,0.0,,0,1339,0,107,0.06016597510373444,0.0,0.0,0.0,,0,1359,0,87
chb20_22_processed_smoothing_freq.npz,chb20,295,0,295,0.003389830508474576,0.0,0.0,0.0,,0,294,0,1,0.0,0.0,0.0,0.0,,0,295,0,0
chb20_23_processed_smoothing_freq.npz,chb20,1184,0,1184,0.005067567567567568,0.0,0.0,0.0,,0,1178,0,6,0.0016891891891891893,0.0,0.0,0.0,,0,1182,0,2
chb20_25_processed_smoothing_freq.npz,chb20,1439,0,1439,0.07088255733148019,0.0,0.0,0.0,,0,1337,0,102,0.03613620569840167,0.0,0.0,0.0,,0,1387,0,52
chb20_26_processed_smoothing_freq.npz,chb20,1439,0,1439,0.06184850590687978,0.0,0.0,0.0,,0,1350,0,89,0.03266157053509382,0.0,0.0,0.0,,0,1392,0,47
chb20_27_processed_smoothing_freq.npz,chb20,1439,0,1439,0.0034746351633078527,0.0,0.0,0.0,,0,1434,0,5,0.0006949270326615705,0.0,0.0,0.0,,0,1438,0,1
chb20_28_processed_smoothing_freq.npz,chb20,1439,0,1439,0.004864489228630994,0.0,0.0,0.0,,0,1432,0,7,0.002779708130646282,0.0,0.0,0.0,,0,1435,0,4
chb20_29_processed_smoothing_freq.npz,chb20,1439,0,1439,0.03335649756775538,0.0,0.0,0.0,,0,1391,0,48,0.019457956914523976,0.0,0.0,0.0,,0,1411,0,28
chb20_30_processed_smoothing_freq.npz,chb20,1439,0,1439,0.0034746351633078527,0.0,0.0,0.0,,0,1434,0,5,0.0,0.0,0.0,0.0,,0,1439,0,0
chb20_31_processed_smoothing_freq.npz,chb20,1439,0,1439,0.01667824878387769,0.0,0.0,0.0,,0,1415,0,24,0.009034051424600417,0.0,0.0,0.0,,0,1426,0,13
chb20_34_processed_smoothing_freq.npz,chb20,1439,0,1439,0.03474635163307853,0.0,0.0,0.0,,0,1389,0,50,0.02571230020847811,0.0,0.0,0.0,,0,1402,0,37
chb20_59_processed_smoothing_freq.npz,chb20,1439,0,1439,0.09798471160528145,0.0,0.0,0.0,,0,1298,0,141,0.059763724808895066,0.0,0.0,0.0,,0,1353,0,86
chb20_60_processed_smoothing_freq.npz,chb20,1439,0,1439,0.06740792216817235,0.0,0.0,0.0,,0,1342,0,97,0.029186935371785964,0.0,0.0,0.0,,0,1397,0,42
chb20_68_processed_smoothing_freq.npz,chb20,728,240,488,0.33653846153846156,0.32959326788218796,0.9791666666666666,0.4931794333683106,0.48637295081967213,235,478,5,10,0.33516483516483514,0.3314917127071823,1.0,0.4979253112033195,0.4823599726775956,240,484,0,4
